Team,Division,Conference,01-02 Salary,01-02 Win,01-02 Loss,01-02 PO,02-03 Salary,02-03 Win,02-03 Loss,02-03 PO,03-04 Salary,03-04 Win,03-04 Loss,03-04 PO,04-05 Salary,04-05 Win,04-05 Loss,04-05 PO,05-06 Salary,05-06 Win,05-06 Loss,05-06 PO,06-07 Salary,06-07 Win,06-07 Loss,06-07 PO,07-08 Salary,07-08 Win,07-08 Loss,07-08 PO,08-09 Salary,08-09 Win,08-09 Loss,08-09 PO,09-10 Salary,09-10 Win,09-10 Loss,09-10 PO,10-11 Salary,10-11 Win,10-11 Loss,10-11 PO,11-12 Salary,11-12 Win,11-12 Loss,11-12 PO,12-13 Salary,12-13 Win,12-13 Loss,12-13 PO,13-14 Salary,13-14 Win,13-14 Loss,13-14 PO
New York Knicks,Atlantic,Eastern,85457889,30,52,0,93452376,37,45,0,89444816,39,43,1,102442544,33,49,0,126610272,23,59,0,117024192,33,49,0,96190114,23,59,0,96643646,32,50,0,85505986,29,53,0,66426486,42,40,1,63384503,36,30,1,72989028,54,28,1,88188494,37,45,0
Oklahoma City Thunder,Northwest,West,45431733,45,37,1,53167480,40,42,0,52347480,37,45,0,53821300,52,30,1,48900280,35,47,0,56931964,31,51,0,60861388,20,62,0,68341605,23,59,0,57969029,50,32,1,55922488,55,27,1,59501709,47,19,1,66307014,60,22,1,70083121,59,23,1
Orlando Magic,Southeast,Eastern,45796501,44,38,1,50042784,42,40,1,50209704,21,61,0,66445252,36,46,0,75365655,36,46,0,61013311,40,42,1,58107045,52,30,1,69672979,59,23,1,81239000,59,23,1,90395938,52,30,1,68533625,37,29,1,73312267,20,62,0,57005699,23,59,0
Philadelphia 76ers,Atlantic,Eastern,58073366,43,39,1,64822488,48,34,1,60411084,33,49,0,71951888,43,39,1,84690863,38,44,0,69140163,35,47,0,74038229,40,42,1,67242522,41,41,1,64474648,27,55,0,68417454,41,41,1,66082381,35,31,1,79211528,34,48,0,52168057,19,63,0
Phoenix Suns,Pacific,West,56187219,36,46,0,54544540,44,38,1,66550452,29,53,0,44256720,62,20,1,53626924,54,28,1,65399240,61,21,1,70702565,55,27,1,76001311,46,36,0,64796003,54,28,1,65966400,40,42,0,79943742,33,33,0,56446401,25,57,0,55569468,48,34,0
Portland Trailblazers,Northwest,West,83758700,49,33,1,105203088,50,32,1,82905616,41,41,0,83671312,27,55,0,59966214,21,61,0,75026386,32,50,0,73241335,41,41,0,79887114,54,28,1,56459362,50,32,1,74445767,48,34,1,64328752,28,38,0,71584641,33,49,0,61239127,54,28,1
Sacramento Kings,Pacific,West,54921012,61,21,1,70114984,59,23,1,67991504,55,27,1,61807688,50,32,1,62811975,44,38,1,63975244,33,49,0,63325268,38,44,0,68739818,17,65,0,67371803,25,57,0,44991883,24,58,0,48950236,22,44,0,54886455,28,54,0,62631083,28,54,0
San Antonio Spurs,Southwest,West,45719814,58,24,1,52789992,60,22,2,46082752,57,25,1,47149172,59,23,2,63034710,63,19,1,65327646,58,24,2,69839187,56,26,1,67993153,54,28,1,79130464,50,32,1,69366122,61,21,1,73431894,50,16,1,68386646,58,24,1,63115911,62,20,1
Toronto Raptors,Atlantic,Eastern,52282161,42,40,1,55067512,24,58,0,63033248,33,49,0,61703772,33,49,0,62123201,27,55,0,50581694,49,35,1,65593395,41,41,1,73197890,33,49,0,67819464,40,42,0,69984513,22,60,0,53692599,23,43,0,58286355,34,48,0,71429136,48,34,1
Utah Jazz,Northwest,West,52642362,44,38,1,49897044,47,35,1,34747676,42,40,0,43160808,26,56,0,57407402,41,41,0,61930567,51,31,1,64959089,54,28,1,65841407,48,34,1,71905244,53,29,1,75188482,39,43,0,59339136,36,30,1,65077841,43,29,0,57329205,25,57,0
Washington Wizards,Southeast,Eastern,54776087,37,45,0,46298624,37,45,0,45114084,25,57,0,49547056,45,37,1,54555947,42,40,1,62733705,41,41,1,65241923,43,39,1,70542500,19,63,0,72791114,26,56,0,58324988,23,59,0,54725620,20,46,0,62805919,29,53,0,70204382,44,38,1
